link_id,epoch_index,t_tdb,t_utc,gnss_const_id,gnss_const,prn,frequency_id,frequency,rx_x_ecef_m,rx_y_ecef_m,rx_z_ecef_m,tx_x_ecef_m,tx_y_ecef_m,tx_z_ecef_m,tangent_radius_earth_center_m,tangent_altitude_m,tx_boresight_angle_deg,cn0_dbhz,ionosphere_plasma_delay_m,tecu,tec_delay_m,second_delay_m,third_delay_m,dist_bend_m,tec_delay_bend_m,max_sep_line_m,final_pos_err_m
0,0,788961669.1839,788961600.0,0,GPS,2,0,L1,-331044768.7442,-92363669.68537,-164162609.1078,17215988.90297,3566016.871995,20455840.28812,10292994.90177,3921994.901771,22.43296289466,16.61526539424,0.5615185921583625,3.458797177170435,0.5616133631047419,-9.481358845863977e-05,4.264207931752079e-08,0,0,0,0
1,0,788961669.1839,788961600.0,0,GPS,4,0,L1,-331044768.7442,-92363669.68537,-164162609.1078,25308667.85798,-277625.8187447,-8192489.235043,18308182.42168,11937182.42168,43.48766936906,12.13175435346,0.14591236621595924,0.8986273460006715,0.14591232157133713,4.3464551478861783e-08,1.180070635587918e-09,0,0,0,0
2,0,788961669.1839,788961600.0,0,GPS,21,0,L1,-331044768.7442,-92363669.68537,-164162609.1078,18222495.88581,11020177.16155,16866690.87742,8020895.186796,1649895.186796,17.17285577861,22.78648113183,2.8112758911633478,17.321854221659333,2.8125918654168034,-0.001317393123852031,1.4188703962472666e-06,0,0,0,0
3,0,788961669.1839,788961600.0,0,GPS,27,0,L1,-331044768.7442,-92363669.68537,-164162609.1078,19462867.16974,12847285.71365,-13359879.23507,21914063.94186,15543063.94186,54.62334357549,14.1593906686,0.026417163396284266,0.1626944144074122,0.026417090263862252,7.302155946046007e-08,1.1086255194066113e-10,0,0,0,0
4,1,788961670.1839,788961601.0,0,GPS,2,0,L1,-331052440.1599,-92339447.78929,-164163116.3489,17216958.30818,3568283.588772,20454601.2828,10290941.88059,3919941.88059,22.42826343987,16.62660301232,0.5611785932035568,3.4567024642225905,0.5612732394365654,-9.468861875739329e-05,4.238574875130569e-08,0,0,0,0
5,1,788961670.1839,788961601.0,0,GPS,4,0,L1,-331052440.1599,-92339447.78929,-164163116.3489,25309599.09814,-277183.734767,-8189535.575307,18305607.24558,11934607.24558,43.4800827529,12.14554541133,0.14602415920517303,0.8993158427556359,0.14602411447454477,4.354873853071101e-08,1.1818897242454951e-09,0,0,0,0
6,1,788961670.1839,788961601.0,0,GPS,21,0,L1,-331052440.1599,-92339447.78929,-164163116.3489,18223256.83467,11022032.72137,16864669.08681,8021317.735348,1650317.735348,17.17378333059,22.78448381151,2.811289401436842,17.321936410736093,2.812605210658356,-0.0013172276855289427,1.4184640147089994e-06,0,0,0,0
7,1,788961670.1839,788961601.0,0,GPS,27,0,L1,-331052440.1599,-92339447.78929,-164163116.3489,19461202.87866,12847205.5763,-13362339.21069,21916016.56688,15545016.56688,54.63059590704,14.15961906134,0.026405057229981925,0.16261985645135257,0.02640498410605536,7.301311399922033e-08,1.108125666046767e-10,0,0,0,0
8,2,788961671.1839,788961602.0,0,GPS,2,0,L1,-331060109.668,-92315225.55488,-164163624.2297,17217928.13551,3570550.183113,20453362.27748,10288889.60662,3917889.606623,22.42356538451,16.63793801105,0.5618596224666381,3.4608977534592906,0.5619544388179492,-9.485883930481793e-05,4.248799375375908e-08,0,0,0,0
9,2,788961671.1839,788961602.0,0,GPS,4,0,L1,-331060109.668,-92315225.55488,-164163624.2297,25310530.53734,-276741.788092,-8186581.915571,18303032.19244,11932032.19244,43.47249629746,12.15934013415,0.14609051298429265,0.899724494946797,0.14609046833100475,4.347027468107875e-08,1.1830132172773138e-09,0,0,0,0
10,2,788961671.1839,788961602.0,0,GPS,21,0,L1,-331060109.668,-92315225.55488,-164163624.2297,18224018.15101,11023888.22931,16862647.29592,8021741.791237,1650741.791237,17.17471387272,22.78248003588,2.811297688513696,17.32198665050253,2.812613368212195,-0.0013170978050983779,1.418106599243409e-06,0,0,0,0
11,2,788961671.1839,788961602.0,0,GPS,27,0,L1,-331060109.668,-92315225.55488,-164163624.2297,19459538.6794,12847125.74999,-13364799.18631,21917969.3298,15546969.3298,54.63784841807,14.15984708278,0.02639994842299794,0.16258839329083763,0.026399875355676086,7.29565423549294e-08,1.1077950266323804e-10,0,0,0,0
12,3,788961672.1839,788961603.0,0,GPS,2,0,L1,-331067777.2683,-92291002.98258,-164164132.7502,17218898.38495,3572816.654968,20452123.27216,10286838.08031,3915838.080311,22.4188687297,16.64927038636,0.5624676099449398,3.464643120425542,0.5625625832190899,-9.501585602459886e-05,4.2581874465147094e-08,0,0,0,0
13,3,788961672.1839,788961603.0,0,GPS,4,0,L1,-331067777.2683,-92291002.98258,-164164132.7502,25311462.17558,-276299.9787462,-8183628.255835,18300457.2623,11929457.2623,43.4649100031,12.17313852331,0.14618343244979365,0.9002967558924366,0.14618338774136377,4.352392214638611e-08,1.184507736250762e-09,0,0,0,0
14,3,788961672.1839,788961603.0,0,GPS,21,0,L1,-331067777.2683,-92291002.98258,-164164132.7502,18224779.8349,11025743.6843,16860625.50531,8022167.35401,1651167.35401,17.175647404,22.78046980687,2.8112240241645043,17.32153190984092,2.8125395308579866,-0.0013169244027858543,1.417709303557088e-06,0,0,0,0
15,3,788961672.1839,788961603.0,0,GPS,27,0,L1,-331067777.2683,-92291002.98258,-164164132.7502,19457874.57199,12847046.23469,-13367259.16193,21919922.23056,15548922.23056,54.6451011082,14.16007473305,0.02638613304853817,0.16250330905914315,0.026386060020731177,7.291712244568008e-08,1.1068454553841726e-10,0,0,0,0
16,4,788961673.1839,788961604.0,0,GPS,2,0,L1,-331075442.9598,-92266780.07526,-164164641.9101,17219869.05647,3575083.004412,20450884.26684,10284787.30209,3913787.302095,22.41417347654,16.66060013421,0.5631206615422992,3.4686660855706566,0.5632158019159575,-9.518305581600358e-05,4.268215769274483e-08,0,0,0,0
17,4,788961673.1839,788961604.0,0,GPS,4,0,L1,-331075442.9598,-92266780.07526,-164164641.9101,25312394.01284,-275858.3065723,-8180674.5961,18297882.45518,11926882.45518,43.45732387023,12.18694058023,0.14627822974009871,0.9008805824534096,0.14627818508899146,4.3465015473057784e-08,1.1860917815404653e-09,0,0,0,0
18,4,788961673.1839,788961604.0,0,GPS,21,0,L1,-331075442.9598,-92266780.07526,-164164641.9101,18225541.88622,11027599.08694,16858603.71469,8022594.423536,1651594.423536,17.17658392411,22.77845312574,2.811258089288599,17.321740760411576,2.8125734424363076,-0.0013167704700970402,1.4173223887847547e-06,0,0,0,0
19,4,788961673.1839,788961604.0,0,GPS,27,0,L1,-331075442.9598,-92266780.07526,-164164641.9101,19456210.55672,12846967.03026,-13369719.13723,21921875.26885,15550875.26885,54.65235397609,14.16030201227,0.02637364744535189,0.16242641503810887,0.0263735745503368,7.278439433623343e-08,1.1062075392363569e-10,0,0,0,0
20,5,788961674.1839,788961605.0,0,GPS,2,0,L1,-331083106.7436,-92242556.82855,-164165151.7092,17220840.1501,3577349.231146,20449645.26152,10282737.27241,3911737.272413,22.40947962617,16.67192725053,0.5637493174059438,3.472538774125417,0.5638446198350457,-9.534520864950574e-05,4.2779547539627453e-08,0,0,0,0
21,5,788961674.1839,788961605.0,0,GPS,4,0,L1,-331083106.7436,-92242556.82855,-164165151.7092,25313326.0491,-275416.771965,-8177720.936365,18295307.77114,11924307.77114,43.44973789921,12.2007463063,0.14653388533937503,0.9024550810368858,0.14653384027759467,4.387361863175112e-08,1.188161725241763e-09,0,0,0,0
22,5,788961674.1839,788961605.0,0,GPS,21,0,L1,-331083106.7436,-92242556.82855,-164165151.7092,18226304.30509,11029454.43743,16856581.92381,8023022.999681,1652022.999681,17.17752343274,22.77642999376,2.8112642398506065,17.321777816757194,2.8125794593658417,-0.0013166364761095825,1.4169608743553239e-06,0,0,0,0
23,5,788961674.1839,788961605.0,0,GPS,27,0,L1,-331083106.7436,-92242556.82855,-164165151.7092,19454546.63314,12846888.13696,-13372179.11285,21923828.44518,15552828.44518,54.65960702321,14.16052892065,0.026361641488866182,0.1623524744431178,0.02636156863495761,7.274336954137339e-08,1.1053902961405899e-10,0,0,0,0
24,6,788961675.1839,788961606.0,0,GPS,2,0,L1,-331090768.6186,-92218333.24531,-164165662.1473,17221811.6658,3579615.335246,20448406.2562,10280687.99171,3909687.991709,22.4047871797,16.68325173126,0.5643074693981593,3.4759772779591884,0.5644029381183145,-9.551160030456799e-05,4.2880149366204896e-08,0,0,0,0
25,6,788961675.1839,788961606.0,0,GPS,4,0,L1,-331090768.6186,-92218333.24531,-164165662.1473,25314258.28435,-274975.3747672,-8174767.276631,18292733.2102,11921733.2102,43.44215209044,12.21455570294,0.14661684682943096,0.9029660147730514,0.14661680183885234,4.380109943907874e-08,1.1894791963667482e-09,0,0,0,0
26,6,788961675.1839,788961606.0,0,GPS,21,0,L1,-331090768.6186,-92218333.24531,-164165662.1473,18227067.09149,11031309.73484,16854560.1332,8023453.081988,1652453.081988,17.17846592889,22.77440041287,2.811217266661778,17.321487470504774,2.8125323151342103,-0.0013164650209814496,1.4165485490369399e-06,0,0,0,0
27,6,788961675.1839,788961606.0,0,GPS,27,0,L1,-331090768.6186,-92218333.24531,-164165662.1473,19452882.80152,12846809.55464,-13374639.08847,21925781.75924,15554781.75924,54.66686024825,14.1607554583,0.026351073954305713,0.16228739240328452,0.026351001104860803,7.273894242618791e-08,1.1050248482443385e-10,0,0,0,0
28,7,788961676.1839,788961607.0,0,GPS,2,0,L1,-331098428.5845,-92194109.32599,-164166173.2243,17222783.60356,3581881.316662,20447167.25087,10278639.46042,3907639.460421,22.40009613826,16.69457357235,0.565019212648409,3.480361838663099,0.5651148699710734,-9.570031854388842e-05,4.299587951382843e-08,0,0,0,0
29,7,788961676.1839,788961607.0,0,GPS,4,0,L1,-331098428.5845,-92194109.32599,-164166173.2243,25315190.71857,-274534.1150053,-8171813.616897,18290158.7724,11919158.7724,43.4345664443,12.22836877156,0.14670468531823327,0.903506983846029,0.14670464031126,4.381601234234041e-08,1.1909609353641596e-09,0,0,0,0
30,7,788961676.1839,788961607.0,0,GPS,21,0,L1,-331098428.5845,-92194109.32599,-164166173.2243,18227830.2454,11033164.97964,16852538.34258,8023884.670323,1652884.670323,17.17941141225,22.77236438436,2.811211662758039,17.32145204664103,2.812526563274754,-0.0013163166877980521,1.4161710828151007e-06,0,0,0,0
31,7,788961676.1839,788961607.0,0,GPS,27,0,L1,-331098428.5845,-92194109.32599,-164166173.2243,19451219.06224,12846731.283,-13377099.06377,21927735.21068,15556735.21068,54.67411364987,14.16098162534,0.026336755949624285,0.16219921306451168,0.026336683209804267,7.262945808822224e-08,1.1036193108713348e-10,0,0,0,0
32,8,788961677.1839,788961608.0,0,GPS,2,0,L1,-331106086.6398,-92169885.07586,-164166684.9398,17223755.96332,3584147.175594,20445928.24555,10276591.67899,3905591.678992,22.39540650296,16.70589276971,0.5659473226170912,3.4860793103027325,0.5660432298347811,-9.59503823001462e-05,4.316461036936401e-08,0,0,0,0
33,8,788961677.1839,788961608.0,0,GPS,4,0,L1,-331106086.6398,-92169885.07586,-164166684.9398,25316123.35167,-274092.9927282,-8168859.95749,18287584.4581,11916584.4581,43.4269809621,12.24218551188,0.14677238313029628,0.903923913726806,0.14677233823644265,4.370176757106033e-08,1.1920860512493804e-09,0,0,0,0
34,8,788961677.1839,788961608.0,0,GPS,21,0,L1,-331106086.6398,-92169885.07586,-164166684.9398,18228593.76663,11035020.17205,16850516.55196,8024317.764444,1653317.764444,17.18035988226,22.77032190971,2.811134779065355,17.3209774998881,2.8124495099570224,-0.0013161466625639484,1.415770896635265e-06,0,0,0,0
35,8,788961677.1839,788961608.0,0,GPS,27,0,L1,-331106086.6398,-92169885.07586,-164166684.9398,19449555.41447,12846653.32287,-13379559.03939,21929688.80005,15558688.80005,54.68136722954,14.16120742197,0.026335798043893802,0.1621933135604859,0.0263357252928965,7.264059593774702e-08,1.1040136632937585e-10,0,0,0,0
36,9,788961678.1839,788961609.0,0,GPS,2,0,L1,-331113742.7875,-92145660.48333,-164167197.2937,17224728.7452,3586412.911368,20444689.24023,10274544.64786,3903544.647863,22.39071827492,16.71720802108,0.5661560172463035,3.4873647567539248,0.5662519509212068,-9.597683308430738e-05,4.315818093929431e-08,0,0,0,0
37,9,788961678.1839,788961609.0,0,GPS,4,0,L1,-331113742.7875,-92145660.48333,-164167197.2937,25317056.18379,-273652.0081024,-8165906.297756,18285010.26668,11914010.26668,43.41939564237,12.25600592866,0.14692910294642084,0.9048891047159828,0.1469290586596718,4.3091840662690105e-08,1.194908384188638e-09,0,0,0,0
38,9,788961678.1839,788961609.0,0,GPS,21,0,L1,-331113742.7875,-92145660.48333,-164167197.2937,18229357.65557,11036875.31185,16848494.76108,8024752.364214,1653752.364214,17.1813113386,22.76827299021,2.8113452838489255,17.322273223225928,2.812659899726683,-0.0013160312876139804,1.4154098562697387e-06,0,0,0,0
39,9,788961678.1839,788961609.0,0,GPS,27,0,L1,-331113742.7875,-92145660.48333,-164167197.2937,19447891.85906,12846575.67325,-13382019.01501,21931642.527,15560642.527,54.68862098594,14.16143284831,0.02632538467962719,0.16212918135007218,0.026325311988927264,7.258037789201943e-08,1.1032203526761388e-10,0,0,0,0
40,10,788961679.1839,788961610.0,0,GPS,2,0,L1,-331121397.0238,-92121435.56089,-164167710.2859,17225701.94904,3588678.52456,20443450.23491,10272498.36748,3901498.367475,22.38603145527,16.72836276325,0.5667613332515791,3.4910937231171895,0.5668574323163,-9.614232235897923e-05,4.3257638058829654e-08,0,0,0,0
