 0.1738000000000000E+04, 0.4902800305555400E+04, 0.1096570000000000E-04,  660,  660,    1, 0.0000000000000000E+00, 0.0000000000000000E+00                                                                                                         
    1,    0, 0.0000000000000000E+00, 0.0000000000000000E+00, 0.0000000000000000E+00, 0.0000000000000000E+00             
    1,    1, 0.0000000000000000E+00, 0.0000000000000000E+00, 0.0000000000000000E+00, 0.0000000000000000E+00             
    2,    0,-0.9088083466222001E-04, 0.0000000000000000E+00, 0.3538918298552000E-10, 0.0000000000000000E+00             
    2,    1, 0.1232336842695000E-09, 0.1013126827836000E-08, 0.3208636593847000E-11, 0.4008949483769000E-11             
    2,    2, 0.3467379822995000E-04,-0.2489004351630000E-09, 0.4299793651798000E-10, 0.6876254553841000E-11             
    3,    0,-0.3197467349260000E-05, 0.0000000000000000E+00, 0.3479827796607000E-12, 0.0000000000000000E+00             
    3,    1, 0.2636804553722000E-04, 0.5454519551956000E-05, 0.3902375339106000E-12, 0.3572643115112000E-12             
    3,    2, 0.1417152872119000E-04, 0.4877963012362000E-05, 0.5975104804907000E-12, 0.6876792456469000E-12             
    3,    3, 0.1227495055506000E-04,-0.1774395591200000E-05, 0.1796981587401000E-11, 0.1586115327630000E-11             
    4,    0, 0.3234804745143000E-05, 0.0000000000000000E+00, 0.1681805077820000E-12, 0.0000000000000000E+00             
    4,    1,-0.6013460959908000E-05, 0.1664328226344000E-05, 0.2121940223840000E-12, 0.1555841484026000E-12             
    4,    2,-0.7116184704690000E-05,-0.6777036889078000E-05, 0.2802037435408000E-12, 0.2649292549700000E-12             
    4,    3,-0.1350015995988000E-05,-0.1344500352828000E-04, 0.7432913518484000E-12, 0.7428184499762000E-12             
    4,    4,-0.6007020007582000E-05, 0.3926592752369000E-05, 0.1272808335154000E-10, 0.1185629388283000E-10             
    5,    0,-0.2237867439310000E-06, 0.0000000000000000E+00, 0.1518369953571000E-12, 0.0000000000000000E+00             
    5,    1,-0.1011617732627000E-05,-0.4118916184677000E-05, 0.1099681831067000E-12, 0.1303008076538000E-12             
    5,    2, 0.4399521995333000E-05, 0.1057121006646000E-05, 0.1748311629562000E-12, 0.1510476184673000E-12             
    5,    3, 0.4661734291970000E-06, 0.8698894448864999E-05, 0.6588596486838000E-12, 0.5793085655539000E-12             
    5,    4, 0.2754166899617000E-05, 0.6762229137062000E-07, 0.7182795784369000E-12, 0.7306812907516000E-12             
    5,    5, 0.3110836796160000E-05,-0.2754569117116000E-05, 0.1793850483142000E-11, 0.1751964522035000E-11             
    6,    0, 0.3818426131556000E-05, 0.0000000000000000E+00, 0.1223546553181000E-12, 0.0000000000000000E+00             
    6,    1, 0.1528270038727000E-05,-0.2599595445933000E-05, 0.1431503600672000E-12, 0.1009973553875000E-12             
    6,    2,-0.4397301727328000E-05,-0.2167693729369000E-05, 0.1599243283670000E-12, 0.1175004674031000E-12             
    6,    3,-0.3317545065545000E-05,-0.3427419447531000E-05, 0.3682206605699000E-12, 0.3586831710205000E-12             
    6,    4, 0.3411888665301000E-06,-0.4058042622102000E-05, 0.2793416847341000E-11, 0.2609503187462000E-11             
    6,    5, 0.1454367282585000E-05,-0.1034179615483000E-04, 0.4716858916543000E-12, 0.4739051717951000E-12             
    6,    6,-0.4684264281390000E-05, 0.7229905076864000E-05, 0.6799160869772000E-11, 0.6705348375631000E-11             
    7,    0, 0.5593398283628000E-05, 0.0000000000000000E+00, 0.1293677924115000E-12, 0.0000000000000000E+00             
    7,    1, 0.7471681284183000E-05,-0.1197444305833000E-06, 0.1585365383463000E-12, 0.1994713770024000E-12             
    7,    2,-0.6501389447643000E-06, 0.2411110907358000E-05, 0.1759578572270000E-12, 0.2309340225618000E-12             
    7,    3, 0.5994213884643000E-06, 0.2357326141862000E-05, 0.3692838626971000E-12, 0.3123809813748000E-12             
    7,    4,-0.8436988167706000E-06, 0.7565123460268000E-06, 0.2745131581157000E-12, 0.2767351957045000E-12             
    7,    5,-0.2068082769477000E-06, 0.1069306475305000E-05, 0.3808755967444000E-12, 0.3550187258333000E-12             
    7,    6,-0.1065337982615000E-05, 0.1100466892708000E-05, 0.1011933935078000E-11, 0.1036891908944000E-11             
    7,    7,-0.1820296126625000E-05,-0.1600026884716000E-05, 0.2431712396845000E-11, 0.2416980564284000E-11             
    8,    0, 0.2346827951858000E-05, 0.0000000000000000E+00, 0.9103516220920000E-13, 0.0000000000000000E+00             
    8,    1, 0.4171040133017000E-08, 0.1098033796867000E-05, 0.9566702004181999E-13, 0.1866222895173000E-12             
    8,    2, 0.3009320512389000E-05, 0.1930560497000000E-05, 0.1184778788939000E-12, 0.9874376960328000E-13             
    8,    3,-0.1889050991404000E-05, 0.9544792414883000E-06, 0.2107752273491000E-12, 0.2716587109246000E-12             
    8,    4, 0.3408684239124000E-05,-0.5282613650243000E-06, 0.1084559058128000E-11, 0.1020698711379000E-11             
    8,    5,-0.1248047214857000E-05, 0.2918563471496000E-05, 0.2543482388883000E-12, 0.2575430706367000E-12             
    8,    6,-0.1660465252247000E-05,-0.2114676217578000E-05, 0.2441926949399000E-11, 0.2413970205360000E-11             
    8,    7,-0.1509648757662000E-05, 0.3268883547824000E-05, 0.5031411864203000E-12, 0.5149245645663000E-12             
    8,    8,-0.2485647209643000E-05, 0.2116411502038000E-05, 0.3389784098373000E-11, 0.3430895993333000E-11             
    9,    0,-0.3530913453161000E-05, 0.0000000000000000E+00, 0.8885830353381000E-13, 0.0000000000000000E+00             
    9,    1, 0.1866966884224000E-05, 0.8103911757162000E-07, 0.1392638421179000E-12, 0.1138853880834000E-12             
    9,    2, 0.1927810191724000E-05,-0.1387565049838000E-05, 0.1368061906969000E-12, 0.8688742357761000E-13             
    9,    3,-0.1992413719017000E-05, 0.2201757998211000E-05, 0.2835062088896000E-12, 0.2311762498094000E-12             
    9,    4,-0.1884442613505000E-05,-0.1425787786993000E-05, 0.1608133507724000E-12, 0.1979283185994000E-12             
    9,    5,-0.1562515792728000E-05,-0.3524677279308000E-05, 0.2730687322538000E-12, 0.2547004380151000E-12             
    9,    6,-0.2127261959903000E-05,-0.3002638069072000E-05, 0.5614286825862000E-12, 0.5645167210872000E-12             
    9,    7,-0.3914788309753000E-05,-0.1068081802298000E-06, 0.6689055489551000E-12, 0.6555508944445000E-12             
    9,    8,-0.1311998397302000E-05,-0.2203387436136000E-05, 0.1167010969929000E-11, 0.1160419580180000E-11             
    9,    9,-0.9383977333013000E-06, 0.2488201339170000E-05, 0.3295476775061000E-11, 0.3162183254547000E-11             
   10,    0,-0.1069298701374000E-05, 0.0000000000000000E+00, 0.7963560713885000E-13, 0.0000000000000000E+00             
   10,    1, 0.8415983678243000E-06,-0.9540724870378001E-06, 0.8174392699849000E-13, 0.6930491283677000E-13             
   10,    2, 0.3572467412171000E-06,-0.2651198415524000E-06, 0.7831956948872000E-13, 0.8273579612273000E-13             
   10,    3, 0.4841961849559000E-06, 0.6688233276598000E-06, 0.1627462502466000E-12, 0.1785371566293000E-12             
   10,    4,-0.3572968860377000E-05, 0.1578932731334000E-05, 0.5493494909196000E-12, 0.5150995401139000E-12             
   10,    5, 0.6996868935171000E-06,-0.3145803413615000E-06, 0.1937502287893000E-12, 0.2183992584128000E-12             
   10,    6,-0.1273062149664000E-06,-0.2095301577806000E-05, 0.1252346669173000E-11, 0.1245770570021000E-11             
   10,    7,-0.3998648544150000E-05,-0.9107299336838000E-06, 0.2792659534135000E-12, 0.2751093752772000E-12             
   10,    8,-0.3559427173853000E-05, 0.2848870614121000E-05, 0.1569534298522000E-11, 0.1599472120858000E-11             
   10,    9,-0.4753141593693000E-05,-0.5152643533541000E-07, 0.5484895187170000E-12, 0.5508670120301000E-12             
   10,   10, 0.9478911746986000E-06,-0.1719372692762000E-05, 0.1980897639716000E-11, 0.1984947019513000E-11             
   11,    0,-0.8852080969025000E-06, 0.0000000000000000E+00, 0.6561228384463999E-13, 0.0000000000000000E+00             
   11,    1,-0.1946386327479000E-07, 0.6142508195574000E-06, 0.1191360828957000E-12, 0.6401771910728000E-13             
   11,    2, 0.6995148632823000E-06,-0.1968041942048000E-05, 0.8784741478228999E-13, 0.6411982723593000E-13             
   11,    3, 0.4084183451125000E-06, 0.7362544520473000E-06, 0.1752324496583000E-12, 0.1832971696401000E-12             
   11,    4,-0.1086770483885000E-05, 0.2190866140691000E-05, 0.1618685326967000E-12, 0.1144919939055000E-12             
   11,    5, 0.5034493863822000E-07, 0.2588029985297000E-05, 0.2100209455983000E-12, 0.1962969375900000E-12             
   11,    6, 0.5243052026502000E-06,-0.1367011965577000E-05, 0.3242396338289000E-12, 0.3412949746394000E-12             
   11,    7,-0.8452341685932000E-07,-0.2841084165925000E-05, 0.2986406432537000E-12, 0.2932876529337000E-12             
   11,    8,-0.2095265554108000E-05,-0.3829099270124000E-06, 0.7858203007594000E-12, 0.7712036543404000E-12             
   11,    9,-0.2334955708842000E-05, 0.2526624208910000E-06, 0.1111841607724000E-11, 0.1077983946854000E-11             
   11,   10,-0.4680552476114000E-05,-0.1735271397200000E-06, 0.8339292976342000E-12, 0.8424110021583000E-12             
   11,   11,-0.2888846770194000E-05,-0.1746321905110000E-05, 0.4403723559795000E-11, 0.4277373744645000E-11             
   12,    0,-0.2012260713614000E-05, 0.0000000000000000E+00, 0.1232221195707000E-12, 0.0000000000000000E+00             
   12,    1,-0.7068804096609000E-06, 0.1647785241507000E-05, 0.9403906474529000E-13, 0.1372149898097000E-12             
   12,    2,-0.1052078677035000E-06, 0.1507830879563000E-05, 0.1334134633049000E-12, 0.1142791289851000E-12             
   12,    3, 0.8556891632968000E-06,-0.4058955023963000E-05, 0.1203054259585000E-12, 0.1172995697854000E-12             
   12,    4, 0.8130133950743000E-06,-0.3446224822062000E-06, 0.3440319425406000E-12, 0.3190968008391000E-12             
   12,    5, 0.2084340482887000E-09, 0.8936208713457000E-06, 0.1369001909664000E-12, 0.1524041688177000E-12             
   12,    6, 0.1089065313515000E-05, 0.5452446957395000E-06, 0.7473264933196000E-12, 0.7368339476747000E-12             
   12,    7, 0.2139995093842000E-05,-0.9675605567815000E-06, 0.1873263852741000E-12, 0.1826569031873000E-12             
   12,    8, 0.3985505355214000E-06,-0.2206557590057000E-05, 0.9612780462879999E-12, 0.9741012132696000E-12             
   12,    9,-0.1345174721407000E-05, 0.1095006262044000E-05, 0.3335806443626000E-12, 0.3347345331913000E-12             
   12,   10,-0.3075494554477000E-05,-0.1273912491919000E-05, 0.9950627254874000E-12, 0.1018842562825000E-11             
   12,   11,-0.9818290552251000E-06,-0.3284485994417000E-06, 0.5801825297719000E-12, 0.5887203429574000E-12             
   12,   12, 0.3027759481319000E-06, 0.1246938319555000E-05, 0.1535798852427000E-11, 0.1490370200557000E-11             
   13,    0, 0.2564826595135000E-06, 0.0000000000000000E+00, 0.6914986093710000E-13, 0.0000000000000000E+00             
   13,    1, 0.1354471734243000E-05,-0.7666681061350999E-07, 0.1156755234801000E-12, 0.1417582038613000E-12             
   13,    2,-0.3425234219606000E-05, 0.3839732313006000E-06, 0.1031813906919000E-12, 0.7801689467877000E-13             
   13,    3,-0.4333590658997000E-06,-0.1456309835936000E-05, 0.1423393361319000E-12, 0.1634212542172000E-12             
   13,    4, 0.7772614300955000E-06,-0.5819347201660000E-06, 0.8109329161452000E-13, 0.1176889445781000E-12             
   13,    5,-0.1186339861518000E-05, 0.1021335892021000E-05, 0.1856519853332000E-12, 0.1890916020700000E-12             
   13,    6,-0.2768862964051000E-07, 0.1384228083112000E-05, 0.2127033635628000E-12, 0.2294640507988000E-12             
   13,    7,-0.1621206444278000E-06,-0.6726547962422000E-06, 0.1659760803533000E-12, 0.1709562610544000E-12             
